year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,1,G4,Allegiant Air,ELM,"Elmira/Corning, NY: Elmira/Corning Regional",30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,1,G4,Allegiant Air,ELP,"El Paso, TX: El Paso International",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,1,G4,Allegiant Air,EUG,"Eugene, OR: Mahlon Sweet Field",28.00,8.00,3.74,0.00,1.60,0.00,2.66,2.00,0.00,409.00,236.00,0.00,70.00,0.00,103.00
2025,1,G4,Allegiant Air,EVV,"Evansville, IN: Evansville Regional",18.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1075.00,0.00,1075.00,0.00,0.00,0.00
2025,1,G4,Allegiant Air,EWR,"Newark, NJ: Newark Liberty International",31.00,5.00,2.17,0.00,2.83,0.00,0.00,1.00,0.00,446.00,336.00,0.00,110.00,0.00,0.00
2025,1,G4,Allegiant Air,EYW,"Key West, FL: Key West International",73.00,8.00,4.69,0.00,0.43,0.00,2.88,2.00,0.00,447.00,129.00,0.00,25.00,0.00,293.00
2025,1,G4,Allegiant Air,FAR,"Fargo, ND: Hector International",75.00,8.00,4.34,0.00,2.46,0.00,1.20,0.00,0.00,468.00,340.00,0.00,90.00,0.00,38.00
2025,1,G4,Allegiant Air,FAT,"Fresno, CA: Fresno Yosemite International",39.00,12.00,1.55,0.47,2.48,0.00,7.50,0.00,0.00,838.00,140.00,21.00,210.00,0.00,467.00
2025,1,G4,Allegiant Air,FCA,"Kalispell, MT: Glacier Park International",28.00,3.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,440.00,299.00,31.00,0.00,0.00,110.00
2025,1,G4,Allegiant Air,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",326.00,104.00,22.59,10.79,35.42,0.00,35.20,3.00,0.00,11093.00,3354.00,2708.00,2029.00,0.00,3002.00
2025,1,G4,Allegiant Air,FNT,"Flint, MI: Bishop International",138.00,38.00,6.90,2.06,8.17,0.00,20.87,0.00,0.00,2191.00,269.00,110.00,502.00,0.00,1310.00
2025,1,G4,Allegiant Air,FSD,"Sioux Falls, SD: Joe Foss Field",104.00,17.00,8.49,0.26,4.84,0.00,3.40,0.00,0.00,1036.00,626.00,20.00,203.00,0.00,187.00
2025,1,G4,Allegiant Air,FWA,"Fort Wayne, IN: Fort Wayne International",72.00,15.00,6.36,0.65,4.97,0.00,3.02,0.00,0.00,749.00,331.00,26.00,169.00,0.00,223.00
2025,1,G4,Allegiant Air,GEG,"Spokane, WA: Spokane International",18.00,4.00,1.69,2.00,0.31,0.00,0.00,0.00,0.00,142.00,28.00,109.00,5.00,0.00,0.00
2025,1,G4,Allegiant Air,GFK,"Grand Forks, ND: Grand Forks International",27.00,5.00,2.07,0.00,1.70,0.00,1.23,0.00,0.00,294.00,86.00,0.00,76.00,0.00,132.00
2025,1,G4,Allegiant Air,GJT,"Grand Junction, CO: Grand Junction Regional",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,1,G4,Allegiant Air,GRI,"Grand Island, NE: Central Nebraska Regional",22.00,2.00,0.00,0.00,0.40,0.00,1.60,0.00,0.00,91.00,0.00,0.00,19.00,0.00,72.00
