,Unnamed: 0,runway_id,airport_code,length_ft,width_ft,surface_type
0,197,247862,03N,2400,50,DIRT
1,402,245843,07FA,4500,70,ASPH
2,419,243729,07MT,13500,300,CONC-G
3,1057,249576,0WI8,1200,100,TURF
4,1058,249577,0WI8,1400,200,TURF
5,1550,245678,18AZ,4037,50,ASPH
6,1666,241334,1AZ0,4500,75,ASPH
7,2211,245751,20GA,4500,50,ASPH
8,2472,255517,24SC,2600,180,TURF
9,2867,265678,2FD7,32,32,CONC
10,2868,265679,2FD7,28,28,CONC
11,2869,265680,2FD7,28,28,CONC
12,3366,245482,2XS8,3300,80,ASPH
13,5746,258105,5A8,2040,80,GRVL-DIRT-F
14,6490,257403,66CA,1800,65,DIRT
15,7552,255292,7FA1,2700,100,ASPH-GRVL
16,7565,247580,7FL4,2600,72,TURF
17,9507,310189,AGAF,1501,131,Coral grass
18,9508,310190,AGAR,2822,66,Coral
19,9509,260231,AGAT,2769,49,Crushed coral
20,9510,310193,AGBT,2028,49,grass coral
21,9513,310195,AGGC,2164,82,Sand grass
22,9514,310196,AGGF,1854,82,Grass
23,9515,233754,AGGH,7218,148,ASP
24,9516,310192,AGGI,1953,72,Grass
25,9518,233755,AGGM,4593,98,ASP
26,9519,260234,AGGN,2871,75,UNK
27,9521,310186,AGGR,2206,66,Coral
28,9522,310188,AGGT,2655,75,Coral
29,9523,310182,AGGU,2001,98,Coral
30,9524,260239,AGGV,2789,79,Sand grass
31,9525,310178,AGKG,2428,148,Sand/grass
32,9531,310187,AGRC,2461,75,Coral grass
33,9537,249057,AK06,4000,150,GRAVEL
34,9590,250277,AK59,1800,100,TURF
35,9712,255791,ANG,7000,150,GRVL-F
36,9713,237996,ANYN,7054,148,ASP
37,10375,310431,AYBA,2953,148,Grassed black clay
38,10382,238373,AYBK,5125,98,ASP
39,10392,238352,AYCH,3330,89,ASP
40,10400,238369,AYDU,4593,98,ASP
41,10406,311129,AYEF,1598,98,Grassed brown clay
42,10421,238359,AYGA,3983,59,ASP
43,10422,238358,AYGA,5400,98,ASP
44,10427,238357,AYGN,5546,98,ASP
45,10430,238354,AYGR,5485,98,ASP
46,10439,238363,AYHK,6644,98,ASP
47,10455,238356,AYKM,3044,60,ASP
48,10457,311543,AYKQ,1467,98,Grassed brown clay
49,10458,311545,AYKT,1476,98,Grassed red clay gravel
50,10459,238364,AYKV,5592,98,ASP
51,10464,238366,AYMD,5174,105,ASP
52,10465,238367,AYMH,3599,59,ASP
53,10466,238368,AYMH,7185,98,ASP
54,10467,238370,AYMN,4411,98,ASP
55,10468,238353,AYMO,6136,148,ASP
56,10475,238355,AYNZ,7999,148,ASP
57,10496,238362,AYPY,9022,148,ASP
58,10497,238361,AYPY,4625,148,ASP
59,10515,312015,AYSS,2953,147,Red gravel
60,10521,238372,AYTK,5643,98,ASP
61,10551,238360,AYVN,5775,85,ASP
62,10555,238371,AYWD,5052,75,ASP
63,10556,238365,AYWK,5234,98,ASP
64,10705,346952,BGAP,197,66,ASP
65,10707,236104,BGBW,6004,148,CON
66,10708,258191,BGCO,3281,98,GVL
67,10711,504924,BGGH,7217,147,ASPH
68,10712,236103,BGGH,3117,98,ASP
69,10713,260074,BGJN,2772,98,ASP
70,10714,505067,BGKL,98,68,GVL
71,10715,260076,BGMQ,2621,98,ASPH
72,10716,299104,BGNS,197,66,ASP
73,10717,299105,BGNS,197,66,ASP
74,10719,354241,BGQE,49,49,GVL
75,10720,327506,BGQQ,2953,98,GVL
76,10721,236105,BGSF,9219,197,ASP
77,10722,354242,BGSQ,98,66,GVL
78,10723,260077,BGSS,2621,98,ASP
79,10724,236106,BGTL,9997,150,ASP
80,10725,260078,BGUK,2621,98,ASP
81,10726,260079,BGUQ,2953,98,GRAVEL
82,10727,236462,BIAR,7874,148,ASP
83,10728,236468,BIBD,3084,98,BIT
84,10729,236464,BIEG,6562,148,ASP
85,10731,236467,BIHN,4921,148,BIT
86,10732,236469,BIHU,5266,157,BIT
87,10733,236463,BIIS,4593,148,BIT
88,10734,236460,BIKF,10020,197,ASP
89,10735,236461,BIKF,10056,197,ASP
90,10736,260097,BIKR,6191,90,asphalt
