Aircraft ID,Manufacturer,Model,Aircraft Type,Capacity
1,Airbus,Model_1,Regional Jet,256
2,Boeing,Model_2,Narrow Body,202
3,Embraer,Model_3,Narrow Body,367
4,Embraer,Model_4,Wide Body,330
5,Boeing,Model_5,Regional Jet,383
6,Boeing,Model_6,Turboprop,356
7,Bombardier,Model_7,Narrow Body,64
8,Airbus,Model_8,Wide Body,179
9,Boeing,Model_9,Turboprop,219
10,Embraer,Model_10,Wide Body,72
11,Boeing,Model_11,Narrow Body,183
12,Embraer,Model_12,Turboprop,95
13,Airbus,Model_13,Turboprop,302
14,Boeing,Model_14,Turboprop,191
15,Boeing,Model_15,Wide Body,327
16,Boeing,Model_16,Turboprop,327
17,Cessna,Model_17,Wide Body,308
18,Boeing,Model_18,Regional Jet,376
19,Embraer,Model_19,Regional Jet,317
20,Boeing,Model_20,Turboprop,202
21,Cessna,Model_21,Narrow Body,329
22,Embraer,Model_22,Narrow Body,297
23,Bombardier,Model_23,Wide Body,81
24,Boeing,Model_24,Wide Body,279
25,Cessna,Model_25,Regional Jet,198
26,Airbus,Model_26,Turboprop,295
27,Airbus,Model_27,Narrow Body,306
28,Cessna,Model_28,Narrow Body,367
29,Cessna,Model_29,Wide Body,340
30,Boeing,Model_30,Regional Jet,227
31,Cessna,Model_31,Regional Jet,329
32,Boeing,Model_32,Narrow Body,399
33,Boeing,Model_33,Turboprop,320
34,Embraer,Model_34,Regional Jet,192
35,Embraer,Model_35,Turboprop,99
36,Bombardier,Model_36,Narrow Body,206
37,Cessna,Model_37,Turboprop,370
38,Bombardier,Model_38,Wide Body,231
39,Cessna,Model_39,Narrow Body,210
40,Bombardier,Model_40,Wide Body,174
41,Boeing,Model_41,Narrow Body,326
42,Bombardier,Model_42,Turboprop,72
43,Bombardier,Model_43,Regional Jet,94
44,Boeing,Model_44,Turboprop,161
45,Boeing,Model_45,Turboprop,243
46,Cessna,Model_46,Narrow Body,331
47,Embraer,Model_47,Turboprop,291
48,Bombardier,Model_48,Regional Jet,167
49,Airbus,Model_49,Wide Body,165
50,Boeing,Model_50,Wide Body,309
51,Boeing,Model_51,Turboprop,285
52,Boeing,Model_52,Turboprop,267
53,Cessna,Model_53,Regional Jet,305
54,Cessna,Model_54,Regional Jet,258
55,Embraer,Model_55,Turboprop,348
56,Embraer,Model_56,Regional Jet,283
57,Embraer,Model_57,Narrow Body,71
58,Boeing,Model_58,Wide Body,345
59,Cessna,Model_59,Wide Body,116
60,Cessna,Model_60,Wide Body,336
61,Boeing,Model_61,Narrow Body,111
62,Cessna,Model_62,Regional Jet,102
63,Boeing,Model_63,Wide Body,119
64,Cessna,Model_64,Turboprop,64
65,Bombardier,Model_65,Wide Body,174
66,Cessna,Model_66,Wide Body,363
67,Boeing,Model_67,Wide Body,111
68,Bombardier,Model_68,Narrow Body,70
69,Embraer,Model_69,Narrow Body,145
70,Embraer,Model_70,Turboprop,314
71,Cessna,Model_71,Regional Jet,367
72,Airbus,Model_72,Narrow Body,267
73,Embraer,Model_73,Narrow Body,393
74,Embraer,Model_74,Wide Body,83
75,Embraer,Model_75,Wide Body,152
76,Cessna,Model_76,Regional Jet,393
77,Cessna,Model_77,Narrow Body,271
78,Airbus,Model_78,Narrow Body,133
79,Airbus,Model_79,Narrow Body,312
80,Boeing,Model_80,Wide Body,168
81,Embraer,Model_81,Regional Jet,283
82,Airbus,Model_82,Turboprop,126
83,Airbus,Model_83,Regional Jet,199
84,Cessna,Model_84,Regional Jet,388
85,Cessna,Model_85,Narrow Body,106
86,Cessna,Model_86,Wide Body,335
87,Embraer,Model_87,Narrow Body,75
88,Bombardier,Model_88,Turboprop,273
89,Airbus,Model_89,Wide Body,347
90,Airbus,Model_90,Turboprop,131
91,Bombardier,Model_91,Turboprop,76
92,Embraer,Model_92,Wide Body,400
93,Embraer,Model_93,Turboprop,356
94,Bombardier,Model_94,Narrow Body,142
95,Cessna,Model_95,Regional Jet,341
96,Embraer,Model_96,Wide Body,214
97,Cessna,Model_97,Turboprop,349
98,Bombardier,Model_98,Turboprop,281
99,Boeing,Model_99,Narrow Body,91
100,Boeing,Model_100,Narrow Body,56
101,Airbus,Model_101,Narrow Body,68
102,Embraer,Model_102,Turboprop,120
103,Bombardier,Model_103,Narrow Body,347
104,Boeing,Model_104,Regional Jet,339
105,Bombardier,Model_105,Regional Jet,149
106,Cessna,Model_106,Turboprop,131
107,Embraer,Model_107,Regional Jet,109
108,Cessna,Model_108,Wide Body,332
109,Embraer,Model_109,Regional Jet,298
110,Embraer,Model_110,Turboprop,130
111,Cessna,Model_111,Narrow Body,143
112,Cessna,Model_112,Wide Body,180
113,Boeing,Model_113,Regional Jet,143
114,Embraer,Model_114,Narrow Body,215
115,Cessna,Model_115,Regional Jet,323
116,Bombardier,Model_116,Turboprop,173
117,Embraer,Model_117,Wide Body,364
118,Bombardier,Model_118,Regional Jet,149
119,Airbus,Model_119,Turboprop,138
120,Boeing,Model_120,Turboprop,192
121,Bombardier,Model_121,Narrow Body,340
122,Airbus,Model_122,Regional Jet,157
123,Embraer,Model_123,Turboprop,214
124,Boeing,Model_124,Regional Jet,132
125,Boeing,Model_125,Wide Body,357
126,Boeing,Model_126,Turboprop,304
127,Embraer,Model_127,Narrow Body,351
128,Boeing,Model_128,Wide Body,156
129,Bombardier,Model_129,Narrow Body,206
130,Airbus,Model_130,Narrow Body,68
131,Boeing,Model_131,Wide Body,399
132,Airbus,Model_132,Regional Jet,227
133,Embraer,Model_133,Turboprop,171
134,Airbus,Model_134,Turboprop,124
135,Embraer,Model_135,Regional Jet,144
136,Embraer,Model_136,Narrow Body,234
137,Boeing,Model_137,Turboprop,297
138,Bombardier,Model_138,Turboprop,80
139,Airbus,Model_139,Narrow Body,152
140,Airbus,Model_140,Wide Body,346
141,Airbus,Model_141,Narrow Body,165
142,Bombardier,Model_142,Turboprop,53
143,Airbus,Model_143,Turboprop,362
144,Embraer,Model_144,Narrow Body,188
145,Cessna,Model_145,Narrow Body,64
146,Boeing,Model_146,Wide Body,90
147,Bombardier,Model_147,Narrow Body,321
148,Embraer,Model_148,Wide Body,250
149,Boeing,Model_149,Turboprop,153
150,Bombardier,Model_150,Turboprop,257
151,Boeing,Model_151,Narrow Body,101
152,Embraer,Model_152,Turboprop,201
153,Bombardier,Model_153,Turboprop,282
154,Boeing,Model_154,Regional Jet,187
155,Bombardier,Model_155,Narrow Body,248
156,Boeing,Model_156,Turboprop,292
157,Cessna,Model_157,Narrow Body,177
158,Cessna,Model_158,Turboprop,202
159,Airbus,Model_159,Turboprop,343
160,Boeing,Model_160,Turboprop,192
161,Cessna,Model_161,Turboprop,226
162,Cessna,Model_162,Turboprop,228
163,Airbus,Model_163,Wide Body,90
164,Boeing,Model_164,Regional Jet,267
165,Boeing,Model_165,Narrow Body,70
166,Boeing,Model_166,Wide Body,199
167,Bombardier,Model_167,Turboprop,79
168,Airbus,Model_168,Wide Body,343
169,Bombardier,Model_169,Regional Jet,162
170,Boeing,Model_170,Wide Body,231
171,Bombardier,Model_171,Wide Body,129
172,Bombardier,Model_172,Regional Jet,79
173,Airbus,Model_173,Regional Jet,395
174,Cessna,Model_174,Narrow Body,132
175,Embraer,Model_175,Wide Body,285
176,Cessna,Model_176,Wide Body,214
177,Cessna,Model_177,Regional Jet,76
178,Airbus,Model_178,Turboprop,255
179,Cessna,Model_179,Turboprop,259
180,Bombardier,Model_180,Narrow Body,53
181,Bombardier,Model_181,Regional Jet,387
182,Airbus,Model_182,Regional Jet,254
183,Boeing,Model_183,Turboprop,64
184,Cessna,Model_184,Wide Body,158
185,Airbus,Model_185,Regional Jet,350
186,Boeing,Model_186,Regional Jet,65
187,Bombardier,Model_187,Wide Body,137
188,Embraer,Model_188,Turboprop,384
189,Bombardier,Model_189,Narrow Body,396
190,Bombardier,Model_190,Turboprop,257
191,Cessna,Model_191,Narrow Body,78
192,Airbus,Model_192,Regional Jet,149
193,Airbus,Model_193,Turboprop,328
194,Embraer,Model_194,Narrow Body,323
195,Embraer,Model_195,Turboprop,218
196,Embraer,Model_196,Turboprop,114
197,Embraer,Model_197,Narrow Body,313
198,Airbus,Model_198,Turboprop,354
199,Boeing,Model_199,Turboprop,84
200,Cessna,Model_200,Regional Jet,220
201,Boeing,Model_201,Turboprop,298
202,Cessna,Model_202,Regional Jet,86
203,Boeing,Model_203,Regional Jet,133
204,Embraer,Model_204,Wide Body,113
205,Boeing,Model_205,Narrow Body,358
206,Boeing,Model_206,Regional Jet,58
207,Embraer,Model_207,Regional Jet,111
208,Airbus,Model_208,Regional Jet,366
209,Embraer,Model_209,Regional Jet,57
210,Boeing,Model_210,Wide Body,215
211,Bombardier,Model_211,Turboprop,96
212,Bombardier,Model_212,Narrow Body,350
213,Cessna,Model_213,Regional Jet,399
214,Bombardier,Model_214,Narrow Body,348
215,Boeing,Model_215,Regional Jet,353
216,Airbus,Model_216,Turboprop,165
217,Boeing,Model_217,Turboprop,272
218,Bombardier,Model_218,Narrow Body,63
219,Boeing,Model_219,Narrow Body,184
220,Embraer,Model_220,Narrow Body,198
221,Bombardier,Model_221,Turboprop,396
222,Bombardier,Model_222,Wide Body,354
223,Airbus,Model_223,Regional Jet,186
224,Bombardier,Model_224,Regional Jet,396
225,Boeing,Model_225,Narrow Body,367
226,Boeing,Model_226,Regional Jet,363
227,Embraer,Model_227,Regional Jet,154
228,Boeing,Model_228,Wide Body,217
229,Bombardier,Model_229,Turboprop,161
230,Boeing,Model_230,Wide Body,101
231,Boeing,Model_231,Regional Jet,178
232,Airbus,Model_232,Turboprop,80
233,Cessna,Model_233,Turboprop,359
234,Boeing,Model_234,Turboprop,107
235,Airbus,Model_235,Wide Body,263
236,Boeing,Model_236,Narrow Body,302
237,Cessna,Model_237,Narrow Body,395
238,Embraer,Model_238,Regional Jet,222
239,Cessna,Model_239,Regional Jet,138
240,Bombardier,Model_240,Regional Jet,127
241,Bombardier,Model_241,Turboprop,51
242,Airbus,Model_242,Turboprop,370
243,Embraer,Model_243,Narrow Body,383
244,Airbus,Model_244,Turboprop,77
245,Bombardier,Model_245,Narrow Body,256
246,Embraer,Model_246,Regional Jet,113
247,Embraer,Model_247,Turboprop,325
248,Boeing,Model_248,Turboprop,359
249,Boeing,Model_249,Wide Body,71
250,Cessna,Model_250,Turboprop,263
251,Airbus,Model_251,Wide Body,60
252,Boeing,Model_252,Wide Body,65
253,Airbus,Model_253,Regional Jet,119
254,Airbus,Model_254,Turboprop,91
255,Cessna,Model_255,Turboprop,62
256,Airbus,Model_256,Narrow Body,132
257,Cessna,Model_257,Regional Jet,232
258,Cessna,Model_258,Regional Jet,249
259,Boeing,Model_259,Wide Body,312
260,Airbus,Model_260,Regional Jet,370
261,Cessna,Model_261,Regional Jet,225
262,Airbus,Model_262,Turboprop,167
263,Boeing,Model_263,Wide Body,230
264,Airbus,Model_264,Regional Jet,230
265,Bombardier,Model_265,Wide Body,160
266,Embraer,Model_266,Turboprop,329
267,Boeing,Model_267,Narrow Body,212
268,Airbus,Model_268,Turboprop,99
269,Bombardier,Model_269,Narrow Body,112
270,Airbus,Model_270,Wide Body,394
271,Boeing,Model_271,Wide Body,224
272,Boeing,Model_272,Turboprop,237
273,Bombardier,Model_273,Regional Jet,173
274,Boeing,Model_274,Regional Jet,105
275,Cessna,Model_275,Narrow Body,67
276,Embraer,Model_276,Turboprop,141
277,Boeing,Model_277,Narrow Body,326
278,Cessna,Model_278,Wide Body,138
279,Embraer,Model_279,Narrow Body,245
280,Bombardier,Model_280,Regional Jet,183
281,Embraer,Model_281,Wide Body,261
282,Airbus,Model_282,Turboprop,367
283,Bombardier,Model_283,Narrow Body,348
284,Boeing,Model_284,Narrow Body,347
285,Bombardier,Model_285,Turboprop,110
286,Cessna,Model_286,Wide Body,171
287,Boeing,Model_287,Wide Body,355
288,Embraer,Model_288,Turboprop,86
289,Bombardier,Model_289,Wide Body,76
290,Embraer,Model_290,Wide Body,64
291,Boeing,Model_291,Turboprop,110
292,Cessna,Model_292,Narrow Body,219
293,Airbus,Model_293,Regional Jet,208
294,Airbus,Model_294,Turboprop,280
295,Bombardier,Model_295,Narrow Body,329
296,Boeing,Model_296,Wide Body,151
297,Bombardier,Model_297,Wide Body,262
298,Embraer,Model_298,Turboprop,222
299,Airbus,Model_299,Regional Jet,239
300,Bombardier,Model_300,Narrow Body,153
301,Cessna,Model_301,Narrow Body,251
302,Embraer,Model_302,Turboprop,391
303,Bombardier,Model_303,Narrow Body,351
304,Embraer,Model_304,Regional Jet,343
305,Embraer,Model_305,Wide Body,272
306,Embraer,Model_306,Turboprop,60
307,Airbus,Model_307,Regional Jet,54
308,Cessna,Model_308,Regional Jet,375
309,Airbus,Model_309,Narrow Body,256
310,Airbus,Model_310,Narrow Body,60
311,Boeing,Model_311,Narrow Body,79
312,Boeing,Model_312,Regional Jet,266
313,Boeing,Model_313,Turboprop,144
314,Airbus,Model_314,Narrow Body,155
315,Bombardier,Model_315,Turboprop,186
316,Cessna,Model_316,Regional Jet,296
317,Boeing,Model_317,Turboprop,220
318,Bombardier,Model_318,Turboprop,392
319,Cessna,Model_319,Turboprop,198
320,Embraer,Model_320,Turboprop,146
321,Airbus,Model_321,Wide Body,378
322,Airbus,Model_322,Narrow Body,382
323,Cessna,Model_323,Wide Body,260
324,Airbus,Model_324,Wide Body,147
325,Boeing,Model_325,Regional Jet,241
326,Airbus,Model_326,Regional Jet,330
327,Boeing,Model_327,Narrow Body,172
328,Cessna,Model_328,Narrow Body,311
329,Embraer,Model_329,Narrow Body,167
330,Bombardier,Model_330,Narrow Body,340
331,Cessna,Model_331,Wide Body,300
332,Boeing,Model_332,Narrow Body,53
333,Boeing,Model_333,Narrow Body,368
334,Airbus,Model_334,Narrow Body,240
335,Airbus,Model_335,Turboprop,242
336,Cessna,Model_336,Narrow Body,259
337,Airbus,Model_337,Turboprop,382
338,Embraer,Model_338,Wide Body,106
339,Airbus,Model_339,Regional Jet,157
