Delay ID,Flight ID,Delay Reason,Delay Duration,Delayed Reported By
1,1,ATC,100,FAA
2,2,Crew,5,Pilot
3,3,Technical,211,Airport
4,4,Technical,126,Airline
5,5,Weather,234,Pilot
6,6,Weather,18,Pilot
7,7,Crew,42,Airline
8,8,ATC,201,Airline
9,9,Weather,89,Airport
10,10,ATC,83,Airport
11,11,Weather,165,Pilot
12,12,Crew,219,Pilot
13,13,Technical,6,Pilot
14,14,Technical,92,Airline
15,15,Technical,64,FAA
16,16,Security,12,Airline
17,17,Weather,11,Pilot
18,18,Crew,114,Airline
19,19,Technical,49,FAA
20,20,Security,41,FAA
21,21,Technical,139,Airline
22,22,Technical,122,FAA
23,23,Security,50,FAA
24,24,Weather,229,Pilot
25,25,Technical,96,Airline
26,26,Security,230,Pilot
27,27,Weather,70,Airline
28,28,Security,152,Pilot
29,29,Crew,133,Airport
30,30,Technical,152,Airport
31,31,Crew,175,Airline
32,32,Technical,152,FAA
33,33,ATC,32,Pilot
34,34,Crew,139,Airport
35,35,Technical,236,Pilot
36,36,Crew,97,Pilot
37,37,Technical,72,Airline
38,38,Weather,143,FAA
39,39,Weather,208,Pilot
40,40,Security,26,Airline
41,41,Weather,58,Airline
42,42,ATC,54,Pilot
43,43,Security,192,Airport
44,44,Technical,49,Airport
45,45,Security,213,FAA
46,46,Technical,121,Pilot
47,47,ATC,56,Airport
48,48,Crew,196,Pilot
49,49,Crew,227,FAA
50,50,Weather,49,FAA
51,51,Weather,178,Airline
52,52,Crew,54,FAA
53,53,Crew,147,Pilot
54,54,ATC,218,Pilot
55,55,Security,24,Airline
56,56,ATC,152,Airline
57,57,Weather,53,Airline
58,58,Technical,225,Pilot
59,59,ATC,176,Airline
60,60,ATC,195,FAA
61,61,Crew,172,Airline
62,62,Technical,69,Airline
63,63,Weather,5,Pilot
64,64,ATC,115,Airline
65,65,ATC,51,FAA
66,66,Weather,18,Airline
67,67,Crew,64,Airline
68,68,ATC,45,Pilot
69,69,Technical,59,Airport
70,70,Security,25,FAA
71,71,Weather,150,Airline
72,72,Security,62,Airline
73,73,Technical,178,Airport
74,74,Weather,101,FAA
75,75,Weather,5,Airline
76,76,Weather,187,Pilot
77,77,Crew,157,Pilot
78,78,Crew,23,Pilot
79,79,Crew,29,Airport
80,80,ATC,53,FAA
81,81,ATC,79,Airline
82,82,Security,54,Airline
83,83,Technical,63,Airline
84,84,Crew,206,Airline
85,85,Weather,219,FAA
86,86,ATC,10,FAA
87,87,ATC,83,Airport
88,88,ATC,145,FAA
89,89,Technical,41,Pilot
90,90,Security,168,FAA
91,91,Technical,108,Airport
92,92,ATC,104,Airline
93,93,Crew,208,Airline
94,94,Security,132,Airline
95,95,ATC,147,FAA
96,96,Crew,110,Airline
97,97,Crew,112,Airport
98,98,ATC,72,Pilot
99,99,Technical,132,FAA
100,100,ATC,161,Airline
101,101,Crew,101,FAA
102,102,Weather,210,Pilot
103,103,ATC,180,Pilot
104,104,Weather,70,Airline
105,105,Weather,169,Airline
106,106,Security,152,Pilot
107,107,ATC,171,FAA
108,108,Security,172,Airport
109,109,Crew,209,FAA
110,110,Weather,219,FAA
111,111,Weather,40,Airport
112,112,ATC,235,FAA
113,113,Crew,187,FAA
114,114,ATC,17,Pilot
115,115,Weather,99,Airline
116,116,Security,238,Airline
117,117,ATC,95,Airline
118,118,Weather,166,Airport
119,119,Crew,194,Pilot
120,120,Security,8,Pilot
121,121,Technical,102,Pilot
122,122,Security,119,Pilot
123,123,Security,15,FAA
124,124,Weather,41,Pilot
125,125,Weather,198,Airport
126,126,Security,221,FAA
127,127,Technical,98,Airport
128,128,Technical,139,Airport
129,129,ATC,16,Airport
130,130,Crew,152,Airline
131,131,Security,212,Airline
132,132,Security,163,FAA
133,133,Security,16,Airport
134,134,Technical,35,Pilot
135,135,Crew,33,Pilot
136,136,Weather,5,Airline
137,137,ATC,17,Airport
138,138,ATC,98,Airline
139,139,Security,173,FAA
140,140,Crew,137,Airport
141,141,ATC,92,Pilot
142,142,Security,133,Pilot
143,143,ATC,28,FAA
144,144,Technical,9,Pilot
145,145,Security,130,Airport
146,146,Security,153,Airline
147,147,Security,200,Airline
148,148,Weather,240,FAA
149,149,Technical,120,Airline
150,150,Weather,149,FAA
151,151,Security,40,FAA
152,152,ATC,209,Pilot
153,153,Weather,164,Airline
154,154,Weather,187,Airline
155,155,Crew,141,Airline
156,156,Crew,68,Airport
157,157,ATC,152,Airline
158,158,Weather,94,Airline
159,159,Security,191,Airport
160,160,Weather,58,FAA
161,161,ATC,228,Airline
162,162,Crew,234,FAA
163,163,Technical,64,Airport
164,164,Technical,36,Airport
165,165,Crew,133,FAA
166,166,Technical,43,FAA
167,167,Weather,164,Airline
168,168,ATC,157,FAA
169,169,ATC,67,Airport
170,170,Technical,86,Airport
171,171,Weather,182,FAA
172,172,Crew,24,Airport
173,173,Crew,102,Airline
174,174,Crew,216,FAA
175,175,ATC,170,Pilot
176,176,Weather,155,Airline
177,177,Crew,79,Airport
178,178,Crew,122,Airport
179,179,Security,185,Pilot
180,180,Crew,8,Airline
181,181,Weather,177,Pilot
182,182,ATC,43,Airline
183,183,Crew,106,Airline
184,184,Technical,190,Pilot
185,185,Technical,12,Airport
186,186,Security,134,Pilot
187,187,Weather,210,Airport
188,188,Crew,213,FAA
189,189,Technical,61,Pilot
190,190,Weather,92,Airline
191,191,Technical,93,Airline
192,192,Weather,33,FAA
193,193,Weather,192,FAA
194,194,Security,31,Pilot
195,195,Weather,117,FAA
196,196,Weather,60,Airport
