Flight ID,Aircraft ID,Arrival Time,Airline ID
1,2887,2017-10-19 22:10,1
2,2763,2016-10-17 19:52,2
3,1990,2024-07-21 12:19,3
4,2745,2014-01-27 11:07,4
5,2240,2023-01-07 09:45,5
6,1598,2021-07-27 16:50,6
7,332,2015-06-04 00:26,7
8,1523,2017-04-22 08:56,8
9,1283,2015-12-06 07:03,9
10,1354,2015-11-25 11:25,10
11,1805,2022-07-11 17:15,11
12,2426,2018-04-08 08:34,8
13,2290,2024-07-27 03:02,12
14,1683,2013-02-28 06:48,8
15,1699,2015-05-31 15:14,11
16,1900,2014-12-16 15:14,13
17,2183,2018-09-22 23:06,14
18,2982,2020-05-31 17:55,15
19,2601,2013-03-02 11:28,16
20,1755,2017-08-27 09:39,17
21,1991,2010-07-10 02:22,18
22,1630,2022-01-30 15:36,19
23,714,2020-06-18 23:25,14
24,2897,2016-08-01 23:24,20
25,1636,2013-09-13 06:20,21
26,1663,2014-02-14 16:59,6
27,939,2011-02-28 05:05,15
28,176,2010-12-31 15:44,22
29,2001,2010-11-14 00:11,8
30,181,2023-08-17 01:10,8
31,1314,2021-05-06 23:56,8
32,719,2015-09-02 03:14,23
33,1433,2013-04-04 12:47,11
34,838,2014-11-20 22:43,15
35,2037,2022-03-21 18:20,24
36,690,2011-12-26 03:09,1
37,919,2020-01-14 16:52,21
38,2194,2012-01-23 22:47,2
39,2137,2019-08-26 02:06,18
40,1768,2012-12-05 21:11,8
41,227,2019-07-14 16:24,2
42,469,2012-10-17 21:45,25
43,2039,2021-02-07 15:51,18
44,2717,2024-09-28 02:39,26
45,967,2010-01-09 06:17,8
46,160,2011-09-25 08:48,27
47,376,2014-05-10 08:57,28
48,106,2011-08-25 16:28,29
49,830,2024-04-20 22:54,1
50,1452,2010-01-17 20:08,14
51,872,2021-02-12 15:44,30
52,870,2012-05-20 03:01,8
53,2851,2011-12-01 07:36,14
54,2941,2016-08-22 12:05,31
55,1049,2021-07-30 10:24,1
56,2774,2022-11-14 06:45,8
57,879,2014-08-31 11:25,8
58,1934,2014-07-04 23:02,8
59,956,2011-02-20 22:56,32
60,1373,2011-05-17 11:44,9
