Maintenance ID,Aircraft ID,Maintenance Date,Maintenance Technician,Maintenance Description,Maintenance Cost
1,752,2022-06-23,Tech_433,Landing gear,19028.39
2,1189,2012-01-09,Tech_10,Avionics upgrade,40681.93
3,978,2018-08-25,Tech_164,Engine check,15000.62
4,491,2012-12-09,Tech_324,Landing gear,35500.08
5,825,2015-11-19,Tech_78,Avionics upgrade,49828.98
6,2443,2016-11-28,Tech_397,Engine check,11949.7
7,564,2013-04-27,Tech_136,Engine check,11567.21
8,343,2019-12-21,Tech_257,Avionics upgrade,45193.17
9,183,2012-03-01,Tech_362,Landing gear,24351.68
10,2288,2014-05-19,Tech_4,Routine,20307.62
11,217,2023-05-07,Tech_108,Routine,39265.23
12,1880,2014-06-08,Tech_384,Routine,45478.05
13,2576,2014-07-28,Tech_67,Engine check,41368.54
14,764,2013-10-02,Tech_407,Routine,6288.37
15,231,2018-03-09,Tech_47,Landing gear,17140.12
16,2825,2013-11-16,Tech_420,Landing gear,37205.92
17,965,2024-07-06,Tech_189,Engine check,32343.69
18,2776,2024-08-28,Tech_197,Engine check,46374.38
19,214,2019-08-10,Tech_83,Routine,24450.33
20,945,2016-12-04,Tech_464,Routine,21649.44
21,238,2020-06-11,Tech_402,Landing gear,36237.59
22,1376,2024-08-20,Tech_463,Landing gear,37875.99
23,1849,2012-06-04,Tech_452,Avionics upgrade,45019.13
24,1032,2012-12-18,Tech_372,Landing gear,6715.87
25,2716,2019-07-20,Tech_477,Engine check,14829.4
26,1266,2010-03-14,Tech_443,Engine check,26592.16
27,1729,2023-02-26,Tech_5,Engine check,38891.69
28,1712,2018-06-24,Tech_87,Landing gear,5990.29
29,2608,2024-11-10,Tech_446,Avionics upgrade,43890.34
30,172,2017-01-06,Tech_247,Avionics upgrade,44030.12
31,1857,2011-03-23,Tech_189,Landing gear,15050.69
32,1927,2024-11-02,Tech_104,Landing gear,22183.23
33,727,2014-05-26,Tech_385,Routine,8495.8
34,1350,2017-08-12,Tech_456,Landing gear,49779.9
35,2908,2010-09-08,Tech_216,Routine,2588.09
36,2995,2023-07-27,Tech_21,Avionics upgrade,11897.41
37,1396,2013-08-23,Tech_48,Avionics upgrade,17383.65
38,2803,2012-09-17,Tech_467,Avionics upgrade,14664.04
39,1761,2020-01-30,Tech_323,Avionics upgrade,15703.89
40,2450,2019-02-02,Tech_34,Avionics upgrade,33108.82
41,1556,2015-01-09,Tech_495,Engine check,36797.17
42,1418,2010-04-15,Tech_162,Landing gear,14023.1
43,2308,2015-05-15,Tech_431,Routine,13675.6
44,1231,2018-03-30,Tech_339,Avionics upgrade,47391.14
45,2404,2024-10-05,Tech_118,Avionics upgrade,10128.43
46,979,2024-04-20,Tech_229,Avionics upgrade,26148.69
47,1363,2017-03-04,Tech_206,Landing gear,23321.67
48,2677,2017-06-19,Tech_190,Routine,23292.27
49,1799,2013-06-11,Tech_469,Landing gear,20053.22
50,1186,2021-09-04,Tech_422,Routine,19100.47
51,2633,2023-02-25,Tech_422,Routine,23270.23
52,2039,2020-11-04,Tech_197,Routine,39358.15
53,949,2024-09-22,Tech_280,Landing gear,23836.97
54,1040,2012-05-29,Tech_89,Avionics upgrade,44359.46
55,1414,2024-03-29,Tech_103,Routine,37930.24
56,470,2014-12-06,Tech_280,Routine,33350.79
57,1584,2021-04-28,Tech_212,Landing gear,38413.69
58,771,2022-08-22,Tech_310,Routine,18078.67
59,1619,2018-11-04,Tech_264,Landing gear,17063.4
60,685,2019-01-13,Tech_19,Engine check,29374.99
61,843,2017-01-09,Tech_47,Engine check,14843.0
