landing_id,activity_period,operating_airline,operating_iata,published_airline,published_iata,geo_summary,geo_region,landing_aircraft_type,body_type,aircraft_manufacturer,aircraft_model,aircraft_version,landing_count,total_landed_weight,airline_id,airport_id,runway_id,weather_id,flight_id,pilot_id,delay_id,maintenance_id,aircraft_capacity
1,202211,Sanchez PLC,TCM,George-Moore,RPT,International,Oceania,Helicopter,Wide-body,Airbus,CRJ900,-200,6,69052,285,96,92,81,1593,400,2759,3340,200
2,202401,Murray Group,MBM,"Simmons, Huynh and Hamilton",TEM,International,Africa,Helicopter,Narrow-body,Boeing,CRJ900,-900,4,337671,34,149,66,1,14137,632,638,3958,150
3,202305,"Hammond, Woods and Contreras",JMM,"White, James and Waller",RIS,Domestic,Europe,Jet,Wide-body,Boeing,A320,-200,10,107719,376,221,149,50,1571,241,470,2384,200
4,202010,"Brown, Wilson and Novak",TQA,Cruz Ltd,HKH,International,Africa,Jet,Narrow-body,Embraer,737,-800,8,273961,74,294,181,61,20859,672,1995,2010,220
5,202401,"Davis, Bryant and Houston",BQP,Baker-Rogers,RYA,International,Asia,Turboprop,Wide-body,Bombardier,A320,-200,10,377141,179,173,109,5,7718,41,2711,3706,250
6,202302,Burns-Kirk,UAW,Smith-Brown,VCK,International,South America,Helicopter,Narrow-body,Airbus,E190,-800,6,319180,388,258,4,17,13331,165,1825,4926,150
7,202502,Martin-Cole,DUB,Morris and Sons,MYC,International,Europe,Turboprop,Wide-body,Bombardier,E190,-1000,3,327171,134,96,159,96,2930,890,765,2388,150
8,202204,Stewart Group,TSQ,Cole Ltd,TPO,Domestic,Oceania,Turboprop,Wide-body,Bombardier,E190,-900,3,134035,278,40,134,12,3891,842,2654,3260,180
9,202008,Flores Group,TYG,Acosta-Davidson,JFW,International,North America,Jet,Narrow-body,Bombardier,CRJ900,-800,1,302701,143,101,65,60,20012,673,971,525,200
10,202303,Owens-Olson,JOT,Shaw Ltd,EPY,Domestic,Europe,Turboprop,Wide-body,Bombardier,737,-900,10,321045,308,36,10,7,21476,305,926,4903,200
11,202112,Bauer Group,ONU,Weiss-Miller,JPV,International,Oceania,Jet,Narrow-body,Embraer,A320,-200,2,306787,343,94,96,20,8596,523,1821,1953,150
12,202206,"Smith, Schultz and Villegas",PMX,Smith-Gonzalez,JOF,International,Oceania,Helicopter,Wide-body,Boeing,A320,-800,4,190127,53,174,149,25,9601,802,255,4892,150
13,202209,Stuart-Singleton,DWF,Wilson and Sons,DFH,Domestic,Oceania,Turboprop,Wide-body,Embraer,E190,-200,4,389697,354,25,19,84,10262,159,2190,3876,220
14,202306,Tran-Scott,RTJ,Hammond-Mills,RXR,International,Oceania,Jet,Narrow-body,Airbus,E190,-800,10,72393,413,184,100,39,10279,462,2163,272,250
15,202201,Adkins-Cook,TDN,Reid-Huang,LWV,International,Oceania,Turboprop,Narrow-body,Boeing,A320,-800,2,152459,245,283,150,53,9813,50,172,4242,150
16,202012,"Raymond, Kim and Holmes",ERK,Knight-Kelly,QBF,Domestic,Europe,Helicopter,Narrow-body,Boeing,CRJ900,-200,2,200345,130,47,162,70,5749,648,1595,2282,250
17,202411,Morris LLC,CRI,Conrad Group,BXK,International,Africa,Jet,Wide-body,Airbus,E190,-200,6,200291,477,38,26,77,6071,324,2295,1141,250
18,202203,Butler PLC,XYI,Curtis and Sons,RBL,Domestic,Africa,Turboprop,Wide-body,Boeing,A320,-800,1,175216,451,99,23,1,14327,554,594,618,180
19,202305,Moses-Guerra,CRV,Holloway-Montgomery,RIN,Domestic,Africa,Helicopter,Wide-body,Bombardier,E190,-800,2,346307,108,16,142,41,15525,333,264,3304,150
20,202308,"Sanders, Farley and Davenport",TWX,Johnson Inc,JZZ,International,Asia,Helicopter,Wide-body,Boeing,E190,-900,5,356407,52,35,5,51,19220,862,942,869,220
21,202007,Schmidt-Burns,MUN,Peters-Padilla,FNE,International,South America,Turboprop,Narrow-body,Airbus,737,-200,5,371119,246,22,110,33,15625,390,1230,4569,150
22,202010,Carrillo and Sons,DBH,"Holland, Lara and Miller",NXC,International,Africa,Helicopter,Narrow-body,Embraer,E190,-900,9,379483,420,215,180,12,1109,393,2040,922,200
23,202010,Graham Ltd,PRS,Carey PLC,DRY,International,Africa,Helicopter,Narrow-body,Boeing,CRJ900,-800,3,290876,360,150,142,29,12126,79,1824,3689,220
24,202503,"Mendez, Collins and Perry",BTH,Carrillo-Conley,ROS,Domestic,North America,Jet,Narrow-body,Airbus,CRJ900,-800,2,352191,50,46,194,73,9219,478,2464,1940,180
25,202206,"Gomez, Walker and Archer",VQH,Lewis-Arnold,RAY,Domestic,Africa,Helicopter,Narrow-body,Embraer,E190,-1000,4,248567,297,75,129,9,15757,207,620,888,150
26,202306,Rose-Kelley,TDI,Phillips-Fernandez,XND,Domestic,Europe,Jet,Wide-body,Airbus,737,-1000,7,202767,374,180,8,11,17436,249,2936,3028,150
27,202301,Johnson LLC,ZRS,Hayes-Anderson,DJV,International,Africa,Jet,Wide-body,Airbus,E190,-900,7,352315,43,193,29,84,20811,935,2885,776,150
28,202009,Yang PLC,TAU,Norris-Garcia,HRY,International,South America,Jet,Narrow-body,Embraer,CRJ900,-900,6,324398,224,8,22,15,17987,766,2325,483,250
29,202209,Hines-Sherman,MPD,"Fernandez, Martin and Nelson",ENT,Domestic,Europe,Helicopter,Narrow-body,Airbus,A320,-800,8,121242,42,127,195,12,20728,671,1813,2502,250
30,202107,Meyers-Reese,DIH,"Collins, Jones and Huynh",CME,International,South America,Helicopter,Wide-body,Embraer,E190,-800,9,138040,64,220,186,70,18298,964,1467,2072,180
31,202112,Dean-Brown,RHC,"Barnes, Jones and Robinson",DWF,Domestic,Africa,Helicopter,Wide-body,Embraer,A320,-800,9,117365,450,277,91,8,9869,716,2500,391,220
32,202503,Harris-Williams,CJC,Jacobs Ltd,DGQ,International,Asia,Turboprop,Narrow-body,Airbus,A320,-800,3,117215,386,188,197,6,2883,79,192,1323,200
33,202108,"Reynolds, Hanson and Cohen",FAT,Johnson-Barnes,RHU,International,Africa,Jet,Narrow-body,Boeing,A320,-1000,1,315536,301,269,5,1,19305,439,2993,1571,220
34,202301,Anderson-Key,SIK,"Berry, Ruiz and Collins",APQ,International,Asia,Helicopter,Wide-body,Boeing,737,-200,3,220476,380,120,113,69,20742,444,2223,1323,200
35,202503,"Wood, Copeland and Wiggins",HOY,Watson LLC,FHG,International,Europe,Helicopter,Wide-body,Airbus,737,-200,10,367348,287,189,136,9,1421,507,2946,768,200
36,202110,"Martinez, Crawford and Horton",SBC,"Calderon, Lowe and Floyd",VRB,Domestic,Africa,Turboprop,Narrow-body,Airbus,737,-200,5,323920,123,239,51,30,15582,872,2285,2382,180
37,202207,Wallace and Sons,GOZ,Clark-Jones,RKZ,Domestic,Africa,Turboprop,Narrow-body,Embraer,E190,-900,1,193889,324,66,150,52,12156,633,1756,2853,200
38,202111,Mckay Ltd,TMZ,Smith LLC,XPN,International,Oceania,Jet,Narrow-body,Boeing,A320,-800,10,92916,174,278,35,9,21526,314,2092,476,250
